,commentor,comment
0,Faizan Ahmed,Hitesh bhaiya is on fire btw you can also use Replit for more convineince
1,Muskan Bansal,Yeah i was waiting for the second video and here it is .Thankyou sir
2,Md karimul Islam,I always prefer to code with Type script instead JS  for  coding with less errors...
3,Sandeep,"Every thumbnail is having different picture, let’s see how long will it continue "
4,Mahendra Srivastava,भाई type script का पूरा complete tutorial बनाना नकी आधा अधूरा
5,Ankush Ladani,Present Sirji....
6,Aman soni,
7,QURASHI AKEEL,Please zoom a little more..✓✓
8,Suman Dhali,️
9,Ranjith Thambithurai,2 video in a day
10,Nikhil,
11,Ranjith Thambithurai,when js gonna start
12,Rohan Torankar,#Save_Shwetabh_Gangwar
13,Meet Bhalodiya,Well I just started to learn learn TS yesterday and It felt great to found your tutorial with latest version... 
14,Praveen S,"Much needed series 
Thank you sir "
15,siva prasad,"In js we have ""use strict"" mechanisim why we need to choose TS instead of JS"
16,Ankush Ladani,Present sir...
17,Bir Singh,Typescript is a subset of JavaScript
18,Faizan Ahmed,Thank you Hitesh bhaiya for these tutorials. Happy Onam!
19,Tünde Eszlári,You are a very good videographer.
20,Sandeep,Video quality 
21,Aditya,MKBHD vala vibe arha hai video me.️
22,Ankur Chaubey,️️ thanks
23,Forbidden Souls,"Typescript has one more job
makes u pull ur hair so hard,making sure the dev almost dies"
24,Sooraj s,Happy onam 
25,Bhupendra Dayal,#saveswetabhgangwar
26,Avik Goon,First
27,JS Stallone,"Thanks for the series, it will be super useful to learn TS in small bits, which will be easier to digest"
28,Jaya kumar,"Finally️.If hitesh upload an series on programming language or framework. We know it's important to learn 
But folks learn JavaScript First and learn Typescript second"
29,Aman soni,"We used to search javascript on YouTube and your js playlist comes on top, now it's time for Typescript "
30,Prashanth Shivanna,"I love the way you explain the concepts. Unwrap the unknown, so that everyone has a bite in that without much hustle. Thank you sir."
31,Osuolale Abdullahi,"Thank you very much Hitesh, I've been longing to learn this for a while now"
32,Jaideep Poojary,Very much excited to learn Typescript from you sir 
33,Manik,I have the great fortune of having hitesh sir as my mentor 
34,Raj Mahajan,Finally Someone Coming up with Typescript ️
35,Patel Ronak,Thanks for an amazing series 
36,Prasad Narkhedkar,Most awaited series 
37,Abhishek Das,Totally worth it using type safety in js.
38,reshma satpute,Excited to learn typescript ️
39,Soumyajit Ghosh,Excited to learn️.. Thank you
40,regi nold,Pls teach us advanced course with react typescript
41,Xavier,Thanks for this series 
42,Yashwant Mangate,"Thank you, for everything you are doing for students."
43,RAHUL P,Thank you for this series
44,Mayank Sharma,Looking forward to it Sir!!!
45,Ruhan Khandakar,"as always awesome. 
also can you please tell me from where I can get your background wallpaper (bricks)"
46,RUPAM CHAKRABORTY,Excited for this series
47,Arise Awake,This is very important...Thank you
48,Sarath Maya,Thanks Hitesh starting the typescript course.
49,Manish Sharma,Awesome 
50,VP,was waiting for this from you! ️
51,Yogendra Prabhakar,Energy 
52,Ankush Ladani,Thank you sir...
53,prasan kumar,I love javascript ️ thinking to learn typescript
54,PRATEEK JHA,#Hitesh U always shock me up...
55,Sachin,️ just 2 min before i commented i don't know typescript 
