,title,thumbnail,video_link,views,likes,no_comments
0,How to install typescript,https://i.ytimg.com/vi/kvm8tsRj6BM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDireRyr-2AOnerSsufidfjIXoXuQ,https://www.youtube.com/watch?v=kvm8tsRj6BM,1214,131,13
1,Typescript is not what you think,https://i.ytimg.com/vi/JjWRNtBorMw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDF4FjcSi9DamQwjAl0RPcqFFP5dw,https://www.youtube.com/watch?v=JjWRNtBorMw,2720,233,14
2,Why to learn Typescript,https://i.ytimg.com/vi/j89BvWz8Eag/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnqKFyNAsPB9awgrZKxG_k8iV2Iw,https://www.youtube.com/watch?v=j89BvWz8Eag,6557,615,52
3,Update to Javascript marathon,https://i.ytimg.com/vi/mxSK9ZcASMU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA3FiEAk06JbUhOhi9tf7UjemzPJg,https://www.youtube.com/watch?v=mxSK9ZcASMU,4140,432,46
4,DevOps Pro Course launch | Live classes,https://i.ytimg.com/vi/2fXQvy0kFak/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDeRokN0PPRgZ2QAeMrdK9kfLQTCQ,https://www.youtube.com/watch?v=2fXQvy0kFak,16609,763,91
5,Complete iOS developer course,https://i.ytimg.com/vi/rp56yKfIkmo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAnHda0Q0RPfodAePa3l-s7gEvkw,https://www.youtube.com/watch?v=rp56yKfIkmo,9254,486,83
6,Let’s catch up at #LPU Punjab. Hackathon with 3.5 lakh of prizes,https://i.ytimg.com/vi/rd3lN6yQZIQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD0ZT4e8eCavJCG_n2tfM1E0niGNA,https://www.youtube.com/watch?v=rd3lN6yQZIQ,3325,181,17
7,Live support and free seats,https://i.ytimg.com/vi/nAeFbJ_EXOo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAYt83z4F4zGoUkM8rea6N70yUxhw,https://www.youtube.com/watch?v=nAeFbJ_EXOo,9828,648,101
8,Next Hackathon is at your home | 35000 cash prize,https://i.ytimg.com/vi/yopaUqfhQkQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_mbmxRBZVcUbzWeUph7IoIa6ETw,https://www.youtube.com/watch?v=yopaUqfhQkQ,8767,615,22
9,Learn backend development with prisma and mongodb | part 3,https://i.ytimg.com/vi/arYn3DJcicw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBABWU6YNyFiQWZX5iZ5AypXpY_oQ,https://www.youtube.com/watch?v=arYn3DJcicw,4461,165,8
10,Learn backend development with Prisma and mongodb | part 2,https://i.ytimg.com/vi/qcIotzhNLDU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAx3sJprCG9NNoDIYChX7vQJJQbg,https://www.youtube.com/watch?v=qcIotzhNLDU,6152,215,10
11,Learn backend development with Prisma and mongodb,https://i.ytimg.com/vi/IiqhMNPWGEs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtGEVFXVGRi3Kn8EFvawIB48-uCg,https://www.youtube.com/watch?v=IiqhMNPWGEs,10869,515,16
12,Let's learn Tailwind | live,https://i.ytimg.com/vi/O6-6VfPBNjE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLACL8OOFxQZqQfDE2NttoX4eTYQ1w,https://www.youtube.com/watch?v=O6-6VfPBNjE,8036,408,14
