,title,thumbnail,video_link,views,likes,no_comments
0,Why Statistics Is Super Important For Data Science? Must Watch,https://i.ytimg.com/vi/pZakG-kIt_o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClPOV-5DTp0uziSpuzrHn1VfsYpQ,https://www.youtube.com/watch?v=pZakG-kIt_o,3155,187,16
1,Solving FAANG DSA Interview Questions With Its Implementation,https://i.ytimg.com/vi/4VVhwfVf1k8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhY6zR_A0v7kWyiPalSJxb2kmY6A,https://www.youtube.com/watch?v=4VVhwfVf1k8,3267,110,4
2,End To End Data Science Industry Ready Projects Course Announcement- Be Industry Ready⭐⭐⭐⭐,https://i.ytimg.com/vi/ngBPXUaScCw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRblAnnkR1w8FsqBElGkY35wsI8g,https://www.youtube.com/watch?v=ngBPXUaScCw,9343,295,19
3,Neuro Labs Demo-Dont Worry About High Configuration Laptops @iNeuron Intelligence​,https://i.ytimg.com/vi/dPARXQO8dkw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTOe4_9oblRj0bzNcPLazhOLg8iQ,https://www.youtube.com/watch?v=dPARXQO8dkw,6658,189,26
4,Full Stack Data Science Bootcamp 2.0 With Job Guaranteed Course Announcement,https://i.ytimg.com/vi/tpXu2DnK9HA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB54S1DVeEsRzmq0KZKzQzbpKJxrw,https://www.youtube.com/watch?v=tpXu2DnK9HA,9563,252,37
5,Messages From Our Students -Teachers Day@Telusko @MySirG.com @Hitesh Choudhary @Mahatmaji Technical,https://i.ytimg.com/vi/58RsdQXG0IA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAahhDCW2vF5TTQb30hnAHqj3qIhQ,https://www.youtube.com/watch?v=58RsdQXG0IA,3706,115,7
6,Neuro Lab Launch Celebration- Live 7PM,https://i.ytimg.com/vi/COTMO2sYJh0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCW-5nAPLBlHWRVYVb6MbwIkOtauQ,https://www.youtube.com/watch?v=COTMO2sYJh0,7460,332,18
7,Announcing NeuroLab- World's First Free Community Coding Platform Ft: @iNeuron Intelligence,https://i.ytimg.com/vi/oUlAJe4Tp8o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIpOxe0tx4kYrjRfg44BXFn9h-BQ,https://www.youtube.com/watch?v=oUlAJe4Tp8o,9922,656,19
8,Complete RoadMap To Learn Computer Vision,https://i.ytimg.com/vi/jLcuVu5xdDo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCfhzTx2gdDjtNJJoxxHfcH-wOCfA,https://www.youtube.com/watch?v=jLcuVu5xdDo,6780,300,21
9,Hyperparameter Tuning Using Machine Learning Pipelines,https://i.ytimg.com/vi/82fPl5l0vXY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoIT09RkHJB6Y45Vz7kJAT0vM6fA,https://www.youtube.com/watch?v=82fPl5l0vXY,5344,193,11
10,Solve this Data Science Interview Question From Product Based Company,https://i.ytimg.com/vi/bDJkMOvhAmc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiLU2Tna63-mjo-J6M7iDyVK0COA,https://www.youtube.com/watch?v=bDJkMOvhAmc,8146,238,12
11,"FAANG Interview DSA Series-Heap Sort,Binary Tree,Min Heap and Max Heap Tree AND Interview Questions",https://i.ytimg.com/vi/AxALCZMo01Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFxPx7UCnoygu5h2ibt0NESX5gJA,https://www.youtube.com/watch?v=AxALCZMo01Y,3749,122,5
12,Implementing Machine Learninng Pipelines USsing Sklearn And Python,https://i.ytimg.com/vi/HZ9MUzCRlzI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGvox6ksv8c1NlDzOKoc1xwiQpjw,https://www.youtube.com/watch?v=HZ9MUzCRlzI,10940,437,30
13,"FAANG DSA Series-Discussing Sorting Algorithms-Selection, Bubble and Insertion Sort- Ft Priya Bhatia",https://i.ytimg.com/vi/h9pB1RaTa2U/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-2gJ-LVi_X4CtgpK_NHNKVpE9gw,https://www.youtube.com/watch?v=h9pB1RaTa2U,2879,92,9
14,"End To End Machine Learning Project Implementation With Dockers,Github Actions And Deployment",https://i.ytimg.com/vi/MJ1vWb1rGwM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBep5O_SFS7NhpuvDmbig3T5MDbzg,https://www.youtube.com/watch?v=MJ1vWb1rGwM,34262,1354,19
