,commentor,comment
0,Coder Shams,"Really this podcast is indeed a gift for a student. Really the things i learn from Saurabh sir is unforgettable. ""Hard work gives success "". If normal people especially your parents say you. It doesn't matter. But some great person say It matters."
1,Lakshay Middha,I was lucky enough that I got the chance to be a student of all three of you. My career got skyrocketed by just being your student and by learning from you. Happy Teacher's day 
2,Arup Paul,Best thing happened to this teachers day is this video season .... I'm a student of all of you ... Happy Teachers Day to all of you sir ... I'll give my best to delight your and my parents hardworks ... Thank you sir for everything till now ... Ye to bas surbat h abhi bhi bohot journey baki h aplogoke sath ️️️
3,Prateek Jain Academy,It was Really a great session. Happy Teachers Day Sir
4,mohit gupta,"I'm proud I got a teacher like you sir and this season is very motivational, mano bilkul aag hi lga di sir aapne . HAPPY TEACHERS DAY SIR"
5,DEEPAK SINGH,A memorial moment when three legend in a single frame
6,Pravin Chavan,"Sir you are creater of students life 
Teachers are the guide or to show the way towrads students success  i am proude to have a great teachers like you sir in my life thanks sir 
And happy teachers day sir"
7,Anshika Yadav,All three teachers are great  Happy teacher's day to all of you sir 
8,ajay kumar,"I have found you one of the my best and india's best  teacher for coding , programming ...kaash aap mujhe pahle mil gye hote."
9,Satendra,Happy  teachers day to all of legends in single frame 
10,Arin Sharma,Jaisa moh sir ko Sharad sir se hai waisa mujhe Saurabh sir se hai. Classes me to best hain hi bilkul basic se advance tak lekar jaate hain aur iske alawa itna motivation bhi dete hain ki hum try Karen. Aise guru ko mera shat shat naman! Aapke liye dil se respect hai sir.
11,PRIYANKA RANAWAT,A very Happy Teachers Day to all of you .
12,Sagar Kumar,great all of you sir app jaise sir ke vajah se hi bharat vishaguru banega thnx all of you sir
13,JEE KI तैयारी,Love Saurabh Shukla Sir ️️️
14,MD Irfan,This is really good podcast from you sir. Sir thank you for all guidance and all eforts putted on different part of my life. Happy Teachers Day
15,Maneesh Jangir,You are the. Best teacher in the world 
16,V Gaurav,"Sir, why nit's haven't changed to 2 year mca structure?"
17,Pavankumar Mhaske,happy teacher's day sir
18,Prathamesh Kalamkar,Happy Teachers day to all  Teachers
19,prabha Rajput,Thank you so much sir aapane meri journey ke bare me bahut kuchh pata hai
20,Vivek Pandey,Happy Teachers day Saurabh Sir
21,Souvik Koley,happy teachers day
22,Mr. Cricket Shorts,Sir c ki community classes kb se continue hogi
23,Praveen venkat,Happy teachers shaurab Shukla sir
24,football,Sir couse c c++ ka tha usme tho already leactute  start ho gaye hai but you said it will be started on 2 October usme tho english lecture course lecture a rahe hai aur mane tho hindi ka subscription liya hai na sir plz help me
25,AMIT MEHTA,sir please c programming ka course launch kr dijiye beginner ke liye  jo student iss year btech join krenge  please sir jitni jaldi sakhe  kr dijiye aur road map bhi bna dijiye first year to 3rd year    placement tak ka            and thank you so much for this amazing video
26,kambas cvk,Sir DSA aapki purani video se padh sakte hai ya nhi
27,sanjay mishra,Happy Teacher's Day Sir.
