,title,thumbnail,video_link,views,likes,no_comments
0,Meet My Teacher | Teacher's Day Special | @UCd-HN6ZBWIFJdG6KSLATd6g,https://i.ytimg.com/vi/DjxFTs4ZuU8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2_u_9ZBgmrcAO5BqzAu0HvZ7ypA,https://www.youtube.com/watch?v=DjxFTs4ZuU8,9573,543,30
1,Teacher's Day Special Announcement | Offers | Neuro Labs | New Batch,https://i.ytimg.com/vi/uJesWe403HM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAwKf91rZdfij38RfCuXkCIJUyuQ,https://www.youtube.com/watch?v=uJesWe403HM,7282,452,34
2,Best Programming Course in Hindi,https://i.ytimg.com/vi/PPRlWvX3f9Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCD5L66SzfNr8wxS_SWldJ1SsUnFA,https://www.youtube.com/watch?v=PPRlWvX3f9Y,13595,1113,19
3,Number Shifting Game Project in C,https://i.ytimg.com/vi/5mbQuIr6f8o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBv_hIUT9ogZV8GqeszdkX1bM1Cg,https://www.youtube.com/watch?v=5mbQuIr6f8o,11705,574,25
4,Introduction to C++ and OOP (Bootcamp Batch LIVE),https://i.ytimg.com/vi/PTlNfIaSGus/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBB-wSyJPn5UHz1NNopBZs0mLUt2Q,https://www.youtube.com/watch?v=PTlNfIaSGus,17605,902,38
5,MySirG Gift on Independence Day | Jai Hind,https://i.ytimg.com/vi/AwmhL1N8QEE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-O_5_uTU802PYcOhO_p3nTG0moA,https://www.youtube.com/watch?v=AwmhL1N8QEE,13074,805,19
6,Loops in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/KFZ3Eftp8lo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3M_ga7F2k7J_FDl5edZdujeG7YQ,https://www.youtube.com/watch?v=KFZ3Eftp8lo,10701,471,19
7,Decision Control in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/-Po6d6Zm3cE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDC-CBVgThDX8Sp8wR0gEn704nA5g,https://www.youtube.com/watch?v=-Po6d6Zm3cE,7777,369,8
8,"Keywords, Operators and User input in Python | LIVE Community Classes | MySirG",https://i.ytimg.com/vi/2D7uw4ghr88/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLARUDk6Pd7yYqpoXywJUza3GkSTZQ,https://www.youtube.com/watch?v=2D7uw4ghr88,10969,544,15
9,Variables and Types in Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/ppKaxLop79c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAto_68DhLCGg9-lIfXovoxELfuEQ,https://www.youtube.com/watch?v=ppKaxLop79c,13066,730,24
10,Introduction to Python | LIVE Community Classes | MySirG,https://i.ytimg.com/vi/MpEldU7Z_Wc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAnTZ_E_68VFTvsQOy29ihRBWjSNQ,https://www.youtube.com/watch?v=MpEldU7Z_Wc,25861,1466,66
11,Pointers in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/QaBLikVYeWI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT966zlvo4ceuS7jIpAg3I-Ej2jw,https://www.youtube.com/watch?v=QaBLikVYeWI,11277,530,35
12,Strings in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/0li7LVo0Zfc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1ngOnMHpQSae2HvJpivCSjQLpwQ,https://www.youtube.com/watch?v=0li7LVo0Zfc,9295,488,16
13,Arrays in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/LBLoa3btyVw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCs0wUDgJBhgR2XbMnxDvMchfmO-A,https://www.youtube.com/watch?v=LBLoa3btyVw,10476,504,14
14,Recursion in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/E8LZZUC_2g0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBZ6eG2jGv5vG4-QXFinf-aR8co_w,https://www.youtube.com/watch?v=E8LZZUC_2g0,9959,623,29
15,Functions in C Language | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/8yJFzfYMk30/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgvlnwbv_zQH5oMpyg9ZRufT8wsg,https://www.youtube.com/watch?v=8yJFzfYMk30,13445,678,30
16,How @Rohit Negi cracked 2 Crore package? | MySirG Family,https://i.ytimg.com/vi/oHzGUSprgMY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNiwmo7oj5dWFYR8Ufzq5pahXEHw,https://www.youtube.com/watch?v=oHzGUSprgMY,65983,3792,137
17,C Language | Assignment Solution Day-5 | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/FGOXKUFlZL0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCunYxfXN-67Yb1L_7pFsVwqbRzgA,https://www.youtube.com/watch?v=FGOXKUFlZL0,7965,369,11
18,Hackathon se LIVE,https://i.ytimg.com/vi/L0PohILU8Oo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrS7SG53-hsMxi7F8hytQeNS9-3Q,https://www.youtube.com/watch?v=L0PohILU8Oo,13832,475,17
19,Blockchain Hackathon LIVE,https://i.ytimg.com/vi/yLcx9aGpFNU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPGkXD4VdE1q_A3Dboos9tLTJu_A,https://www.youtube.com/watch?v=yLcx9aGpFNU,12483,490,24
20,C Language | Assignment Solution Day-4 | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/N8H6BRPbuLQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCavSFWwR17B5gcAVksUE6b3kul3A,https://www.youtube.com/watch?v=N8H6BRPbuLQ,6311,288,21
21,Free Entry in Blockchain Hackathon | @iNeuron Intelligence@Neo Smart Economy @Telusko​,https://i.ytimg.com/vi/TPqgL5YcToQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc9_WjCH29ROBB7LWhLQhH-GQq4Q,https://www.youtube.com/watch?v=TPqgL5YcToQ,3777,176,15
22,C Language | Assignment Solution Day-3 | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/y1vtmwd3ccY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbtUiHyKzcY39sj6M7MtGLOE_jfQ,https://www.youtube.com/watch?v=y1vtmwd3ccY,5684,257,16
23,Full Stack Web Development using Python | LIVE class in Hindi,https://i.ytimg.com/vi/KNTz0N10lzg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfisaChcvTHDO_W5pvsaj4tIsNMg,https://www.youtube.com/watch?v=KNTz0N10lzg,10611,606,93
24,C Language | Assignment Solution Day-2 | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/h6qXQ7DHcgE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDpEWhhs1TiWXukWIAOOAQknCjHxQ,https://www.youtube.com/watch?v=h6qXQ7DHcgE,8214,384,14
25,C Language | Assignment Solution Day-1 | Community Classes | LIVE | MySirG,https://i.ytimg.com/vi/2sgAzyYkS1g/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCE8YUqwXnRbWEH-PZG4jxerbJdYg,https://www.youtube.com/watch?v=2sgAzyYkS1g,12707,602,17
