,title,thumbnail,video_link,views,likes,no_comments
0,Free Coding Platform | Neuro Lab,https://i.ytimg.com/vi/gkRy67OCCpQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9r6A0VcXntmq99QuRrGaiOolX7w,https://www.youtube.com/watch?v=gkRy67OCCpQ,7765,296,39
1,1000 Programmers for Hackathon | LPU,https://i.ytimg.com/vi/H1PQj54u0As/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCiqrcu3AI8YajPjTIuNbL4RTIuWg,https://www.youtube.com/watch?v=H1PQj54u0As,29761,532,21
2,Full Stack Java Developer Live Course | Job Guarantee | Announcement,https://i.ytimg.com/vi/b7OryQDDCsU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkQv79v_1ohy3zdjFuGj8v4PvEjw,https://www.youtube.com/watch?v=b7OryQDDCsU,50993,1680,129
3,Tech-A-Thon at Lovely Professional University(LPU),https://i.ytimg.com/vi/3NfjY7ddHz8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLButMl_WY_N3lIkPSxlN57G-kQC0A,https://www.youtube.com/watch?v=3NfjY7ddHz8,6921,163,13
4,Had an Amazing Week | Saturday Live,https://i.ytimg.com/vi/4auwnxsEDeI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXWK9A1gkGhOn1sPv4Mn5g0ili0Q,https://www.youtube.com/watch?v=4auwnxsEDeI,7874,243,19
5,76th Independence Day Celebration Offer,https://i.ytimg.com/vi/ujyvH3DjisE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxEHiYHXzKD6JC6fMFcH3Fcye93w,https://www.youtube.com/watch?v=ujyvH3DjisE,9093,285,26
6,Blockchain Quiz | Basics,https://i.ytimg.com/vi/UnffRY0btLQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdtaov8ScfJm9FWlNOnFhZswwa7w,https://www.youtube.com/watch?v=UnffRY0btLQ,5147,149,6
7,JavaScript Programming Tutorial for Beginners,https://i.ytimg.com/vi/IC5vBKc21X8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZ_sevmF1e8j0jTviVmtBKkjRyoA,https://www.youtube.com/watch?v=IC5vBKc21X8,47212,1674,100
8,Does Your Code Smell ?,https://i.ytimg.com/vi/vTWpddJiUXI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZyTopOWpHUVTov9LwWiQss5PvCA,https://www.youtube.com/watch?v=vTWpddJiUXI,21539,734,23
9,Quiz at Blockchain Hackathon | Menti,https://i.ytimg.com/vi/Z7UXVx30If0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATTmiCgjmO-15X_u375hD4q_13vw,https://www.youtube.com/watch?v=Z7UXVx30If0,10956,183,12
10,Blockchain Hackathon Highlights @iNeuron Intelligence @Neo Smart Economy,https://i.ytimg.com/vi/pFW9zyaVF4U/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfWkLWb1xYQCm_HuW24nAN0ItaZg,https://www.youtube.com/watch?v=pFW9zyaVF4U,6841,167,3
11,Full Stack Blockchain Development Induction,https://i.ytimg.com/vi/IVJoISiw28c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBh1A-QkPodpjQL1F3TqamxxOhWGw,https://www.youtube.com/watch?v=IVJoISiw28c,30928,581,13
